date,CSI1000,CSI500,CYB,HS300,SH50
2014-07-07,4970.868,4014.488,1393.889,2176.289,1492.836
2014-07-08,5014.857,4039.707,1410.725,2180.473,1491.964
2014-07-09,4937.321,3982.404,1384.579,2148.71,1475.137
2014-07-10,4935.691,3982.198,1363.882,2142.847,1471.168
2014-07-11,4966.176,4029.751,1359.342,2148.009,1468.541
2014-07-14,5025.24,4090.802,1367.07,2171.758,1482.777
2014-07-15,4992.831,4093.113,1341.269,2174.976,1484.662
2014-07-16,4925.461,4062.119,1318.615,2170.868,1483.176
2014-07-17,4907.894,4031.44,1312.809,2157.068,1473.668
2014-07-18,4910.766,4042.521,1305.922,2164.144,1478.755
2014-07-21,4898.25,4030.242,1306.965,2166.295,1479.837
2014-07-22,4966.788,4083.288,1329.349,2192.698,1495.927
2014-07-23,4897.562,4057.113,1293.094,2197.833,1506.755
2014-07-24,4859.618,4054.223,1271.879,2237.015,1541.899
2014-07-25,4899.727,4089.801,1285.768,2260.454,1557.015
2014-07-28,4984.277,4168.373,1314.527,2323.897,1609.477
2014-07-29,5046.407,4207.862,1331.764,2331.369,1611.852
2014-07-30,5088.647,4214.836,1342.738,2322.011,1601.377
2014-07-31,5115.578,4257.045,1344.544,2350.251,1621.847
2014-08-01,5056.042,4210.219,1325.938,2329.402,1607.974
2014-08-04,5121.725,4278.847,1329.821,2375.62,1644.634
2014-08-05,5170.157,4300.12,1360.692,2369.353,1632.408
2014-08-06,5192.31,4328.601,1365.74,2363.221,1619.012
2014-08-07,5158.503,4286.09,1362.028,2327.457,1593.419
2014-08-08,5206.203,4311.697,1377.445,2331.134,1595.662
2014-08-11,5285.675,4377.018,1397.784,2365.349,1619.253
2014-08-12,5322.304,4399.806,1396.438,2357.052,1607.91
2014-08-13,5320.846,4401.809,1384.309,2358.901,1610.139
2014-08-14,5302.98,4373.504,1380.303,2335.945,1596.839
2014-08-15,5359.729,4423.636,1392.451,2360.635,1612.004
2014-08-18,5449.274,4483.544,1428.739,2374.562,1613.127
2014-08-19,5473.399,4496.938,1436.396,2374.768,1609.093
2014-08-20,5461.59,4497.399,1427.404,2366.14,1600.338
2014-08-21,5477.343,4495.44,1447.881,2354.244,1587.025
2014-08-22,5524.371,4521.752,1461.722,2365.364,1594.183
2014-08-25,5485.078,4487.142,1443.806,2342.863,1577.425
2014-08-26,5376.852,4407.588,1411.15,2324.092,1573.391
2014-08-27,5406.561,4421.212,1420.54,2327.595,1572.791
2014-08-28,5359.559,4381.494,1403.795,2311.278,1563.889
2014-08-29,5421.286,4427.879,1424.469,2338.287,1581.284
2014-09-01,5522.776,4507.442,1452.843,2355.317,1586.022
2014-09-02,5604.66,4576.12,1465.033,2386.46,1607.499
2014-09-03,5648.724,4608.557,1477.673,2408.838,1624.032
2014-09-04,5704.277,4647.886,1495.513,2426.224,1637.287
2014-09-05,5722.823,4666.474,1489.835,2449.259,1656.237
2014-09-09,5757.871,4701.699,1494.017,2445.224,1645.112
2014-09-10,5797.449,4709.909,1504.914,2432.433,1629.985
2014-09-11,5790.101,4704.942,1513.014,2423.454,1622.815
2014-09-12,5862.171,4756.949,1524.121,2438.358,1630.204
2014-09-15,5922.273,4807.555,1526.135,2437.189,1624.068
2014-09-16,5717.842,4645.546,1473.13,2388.765,1600.916
2014-09-17,5757.993,4686.047,1479.118,2401.326,1604.916
2014-09-18,5803.722,4719.009,1490.787,2408.664,1609.869
2014-09-19,5870.094,4758.727,1499.124,2425.211,1619.581
2014-09-22,5820.683,4694.229,1483.353,2378.92,1583.886
2014-09-23,5905.165,4754.472,1500.99,2399.462,1595.642
2014-09-24,5984.145,4815.71,1517.421,2441.864,1625.731
2014-09-25,5989.877,4814.735,1508.416,2436.965,1618.524
2014-09-26,6015.45,4829.935,1511.357,2437.201,1616.088
2014-09-29,6080.097,4877.435,1526.175,2447.799,1621.816
2014-09-30,6127.134,4916.119,1540.874,2450.988,1619.697
2014-10-08,6214.97,4993.531,1557.568,2478.383,1633.571
2014-10-09,6238.262,5004.001,1561.166,2481.955,1634.042
2014-10-10,6216.978,4981.853,1554.217,2466.789,1621.713
2014-10-13,6216.669,4982.681,1548.327,2454.946,1605.986
2014-10-14,6203.997,4966.083,1539.119,2446.562,1600.299
2014-10-15,6222.795,4987.707,1545.623,2463.874,1612.772
2014-10-16,6134.74,4906.244,1526.56,2444.395,1608.735
2014-10-17,6058.668,4860.732,1511.054,2441.732,1608.516
2014-10-20,6154.52,4929.16,1532.38,2454.711,1612.402
2014-10-21,6103.008,4884.024,1517.483,2433.391,1600.844
2014-10-22,6027.51,4825.609,1504.552,2418.641,1597.125
2014-10-23,5930.483,4755.231,1477.837,2395.936,1586.557
2014-10-24,5941.926,4774.666,1477.588,2390.706,1583.419
2014-10-27,6006.838,4809.518,1492.01,2368.832,1559.906
